neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
Russian Hill,37.80463,-122.42012,Entire home/apt,4,22,4.95,f,0,153,18,0.5,0.25,0.75,18,5.746203190540153
Bernal Heights,37.74372,-122.40828,Entire home/apt,2,93,4.31,f,0,90,44,0.5,0.5,0.5,20,4.553876891600541
Mission,37.75217,-122.40954,Private room,2,101,4.59,f,0,184,12,0.5,0.75,0.5,20,4.31748811353631
Outer Mission,37.7305,-122.45194,Entire home/apt,5,79,4.95,t,11,167,42,0.6,0.4,0.6,5,5.955837369464831
Western Addition,37.77025,-122.43231,Entire home/apt,6,140,5.0,t,0,27,57,0.5,0.5,0.6666666666666666,6,6.5337888379333435
Noe Valley,37.74498,-122.4367,Entire home/apt,4,103,4.77,f,0,30,41,0.5,0.25,0.5,13,5.303304908059076
Western Addition,37.77827,-122.43053,Entire home/apt,4,69,4.78,f,4,103,37,1.0,0.375,1.0,6,5.1647859739235145
Western Addition,37.785438,-122.4441794,Entire home/apt,2,14,5.0,t,3,319,41,0.5,1.0,0.5,24,5.5134287461649825
Bernal Heights,37.74565,-122.41281,Entire home/apt,7,5,4.6,f,0,66,30,0.5714285714285714,0.42857142857142855,0.5714285714285714,20,6.259581464064923
Parkside,37.7435,-122.48473,Entire home/apt,1,44,4.48,t,0,335,38,1.0,1.0,1.0,22,4.330733340286331
Castro/Upper Market,37.75954,-122.43823,Entire home/apt,9,6,5.0,f,0,143,27,0.5555555555555556,0.3888888888888889,0.5555555555555556,21,6.429719478039138
North Beach,37.80069,-122.40586,Entire home/apt,4,128,4.94,t,0,299,43,0.5,0.375,0.5,18,5.0106352940962555
Nob Hill,37.79104,-122.41551,Entire home/apt,2,31,4.87,f,0,203,26,0.5,0.5,0.5,4,4.74493212836325
West of Twin Peaks,37.73386,-122.4638,Private room,2,129,4.64,t,29,269,25,0.5,1.5,0.5,19,4.174387269895637
Outer Mission,37.73411,-122.44805,Private room,1,24,4.83,f,28,363,53,1.0,1.0,1.0,5,4.174387269895637
Mission,37.76408,-122.42047,Entire home/apt,3,24,4.54,f,0,179,34,0.6666666666666666,0.3333333333333333,0.6666666666666666,9,4.762173934797756
Castro/Upper Market,37.76067,-122.4389,Private room,4,12,5.0,t,28,168,63,0.5,0.25,0.5,21,5.817111159963204
Castro/Upper Market,37.76018,-122.4402,Entire home/apt,8,138,4.88,t,28,168,37,0.375,0.25,0.75,21,6.648984550024776
Marina,37.80494,-122.44457,Entire home/apt,5,42,4.88,f,0,325,60,0.6,0.4,0.6,3,5.953243334287785
South of Market,37.78002548217773,-122.40237426757812,Entire home/apt,4,74,4.82,t,5,207,64,0.5,0.25,0.5,1,5.616771097666572
Potrero Hill,37.75968,-122.39212,Entire home/apt,6,48,4.81,t,11,202,64,0.5,0.3333333333333333,0.5,7,6.253828811575473
Russian Hill,37.79819,-122.41816,Entire home/apt,4,20,4.75,f,6,59,33,0.5,0.25,0.5,18,6.152732694704104
Bernal Heights,37.73483,-122.41838,Entire home/apt,8,53,4.79,f,0,0,47,0.375,0.25,0.5,2,5.796057750765372
Glen Park,37.74184,-122.42423,Private room,2,105,4.85,t,20,20,49,0.5,0.5,0.5,2,4.290459441148391
Inner Richmond,37.78528,-122.47445,Entire home/apt,6,892,4.75,t,0,238,46,0.3333333333333333,0.16666666666666666,0.5,15,5.236441962829949
Marina,37.80497,-122.4369,Entire home/apt,6,54,4.96,t,30,349,71,0.5,0.4166666666666667,0.6666666666666666,3,7.086737934510577
Western Addition,37.76965,-122.43532,Entire home/apt,4,6,4.83,f,0,219,43,0.5,0.5,0.5,6,7.00397413672268
Castro/Upper Market,37.7651,-122.43541,Private room,2,579,4.94,t,9,314,55,0.5,0.5,0.5,6,4.653960350157523
Castro/Upper Market,37.75655,-122.43645,Entire home/apt,5,7,5.0,f,0,273,65,0.6,0.5,0.8,21,6.551080335043404
Western Addition,37.77811,-122.43639,Private room,2,510,4.88,t,8,318,65,0.5,0.75,0.5,6,4.634728988229636
Inner Richmond,37.78517,-122.46989,Entire home/apt,2,171,4.78,t,8,217,22,0.5,0.5,0.5,15,4.804021044733257
Outer Mission,37.73232,-122.44834,Private room,1,12,4.75,f,29,269,57,2.0,1.0,2.0,5,4.0943445622221
Pacific Heights,37.78992,-122.43446,Entire home/apt,2,144,4.92,t,6,294,30,0.5,0.5,0.5,3,5.099866427824199
Mission,37.75444,-122.42473,Entire home/apt,2,42,4.7,f,27,362,39,1.0,0.5,0.5,13,4.787491742782046
West of Twin Peaks,37.73222,-122.46171,Private room,4,295,4.88,t,26,165,54,0.5,0.25,0.75,19,4.990432586778736
Bernal Heights,37.74705962796416,-122.40637427869824,Entire home/apt,2,207,4.9,t,6,36,34,0.5,0.5,0.5,20,4.634728988229636
Mission,37.76914609363946,-122.4246020456868,Entire home/apt,2,454,4.97,t,4,139,46,0.0,0.5,0.5,9,5.2832037287379885
West of Twin Peaks,37.73217,-122.46167,Private room,2,228,4.92,t,15,219,58,0.5,0.5,0.5,19,4.997212273764115
Noe Valley,37.75005,-122.43078,Entire home/apt,2,41,4.85,f,0,311,33,0.5,0.5,0.5,13,5.717027701406222
Castro/Upper Market,37.76006,-122.43424,Entire home/apt,2,150,4.91,t,4,328,60,0.5,0.5,1.0,21,5.342334251964811
Noe Valley,37.74859,-122.4318,Entire home/apt,6,127,4.98,t,0,54,54,0.5,0.3333333333333333,0.5,13,6.856461984594587
Castro/Upper Market,37.76581954956055,-122.43441772460938,Private room,1,182,4.9,t,9,344,35,1.0,2.0,1.0,6,4.836281906951478
Western Addition,37.77683,-122.43633,Entire home/apt,5,85,4.96,f,0,13,44,0.6,0.4,0.6,6,6.331501849893691
Inner Richmond,37.77838,-122.46129,Entire home/apt,6,444,4.48,t,16,228,43,0.16666666666666666,0.16666666666666666,0.5,15,4.875197323201151
Crocker Amazon,37.70942,-122.43542,Entire home/apt,2,344,4.92,t,9,235,77,0.5,0.5,0.5,12,4.74493212836325
Western Addition,37.77127,-122.42945,Private room,3,596,4.93,t,6,284,67,0.6666666666666666,0.5,0.6666666666666666,6,4.727387818712341
Haight Ashbury,37.76636,-122.44887,Entire home/apt,4,328,4.98,t,6,261,40,0.25,0.25,0.5,21,5.407171771460119
Bernal Heights,37.73863,-122.41713,Entire home/apt,4,216,4.87,t,3,98,41,0.5,0.25,0.5,2,4.955827057601261
Nob Hill,37.79211,-122.41867,Entire home/apt,2,138,4.78,t,9,136,59,0.0,0.5,1.0,10,4.787491742782046
Bernal Heights,37.74778,-122.4045,Entire home/apt,4,411,4.63,f,0,3,51,0.25,0.25,0.5,20,5.308267697401205
Marina,37.7985,-122.43025,Entire home/apt,5,239,4.9,t,0,262,58,0.6,0.3,0.6,3,6.7226297948554485
Outer Mission,37.72817,-122.45077,Entire home/apt,4,453,4.96,t,2,236,32,0.5,0.25,0.75,5,5.003946305945459
